rank,artist,song,year
80,Mariah Carey feat. Cameo,Loverboy,2001
81,Isley Brothers feat. Ronald Isley AKA Mr. Biggs,Contagious,2001
82,Jessica Andrews,Who I Am,2001
83,Erick Sermon feat. Marvin Gaye,Music,2001
84,Willa Ford,I Wanna Be Bad,2001
85,Kenny Chesney,Don’t Happen Twice,2001
86,Diamond Rio,One More Day,2001
87,R. Kelly,I Wish,2001
88,Travis Tritt,It’s A Great Day To Be Alive,2001
89,Trick Daddy,I’m A Thug,2001
90,Eve 6,Here’s To The Night,2001
91,Toby Keith,You Shouldn’t Kiss Me Like This,2001
92,Eden’s Crush,Get Over Yourself,2001
93,Debelah Morgan,Dance With Me,2001
94,Outkast,"So Fresh, So Clean",2001
95,Nelly,E.I.,2001
96,3 Doors Down,Be Like That,2001
97,Pink,Most Girls,2001
98,QB’s Finest feat. Nas and Braveheart’s,Oochie Wally,2001
99,Enrique Iglesias,Hero,2001
100,Fuel,Hemorrhage (In My Hands),2001
1,Nickelback,How Your Remind Me,2002
2,Ashanti,Foolish,2002
3,Nelly,Hot in Herre,2002
4,Nelly feat. Kelly Rowland,Dilemma,2002
5,The Calling,Wherever you Will Go,2002
6,Vanessa Carlton,A Thousand Miles,2002
7,Linkin Park,In the End,2002
8,Fat Joe feat. Ashanti,What’s Luv?,2002
9,Usher,U Got it Bad,2002
10,Puddle Of Mudd,Blurry,2002
11,Avril Lavigne,Complicated,2002
12,Ja Rule feat. Ashanti,Always on Time,2002
13,Jennifer Lopez feat. Ja Rule,Ain’t it Funny,2002
14,Jimmy Eat World,The Middle,2002
15,P. Diddy feat. Usher and Loon,I Need a Girl (Part One),2002
16,Usher,U Don’t have to Call,2002
17,Mary J. Blige,Family Affair,2002
18,"P. Diddy and Ginuwine feat. Loon, Mario Winans and Tammy Ruggeri",I Need a Girl (Part Two),2002
19,Eve feat. Alicia Keys,Gangsta Lovin’,2002
20,Creed,My Sacrifice,2002
21,Eminem,Without Me,2002
22,Enrique Iglesias,Hero,2002
23,Michelle Branch,All You Wanted,2002
24,Pink,Get the Party Started,2002
25,Chad Kroeger feat. Josey Scott,Hero,2002
26,Default,Wasting My Time,2002
27,Creed,One Last Breath,2002
28,Shakira,"Whenever, Wherever",2002
29,Jennifer Lopez feat. Nas,I’m Gonna Be Alright,2002
30,Cam’ron feat. Juelz Santana,Oh Boy,2002
31,DJ Sammy and Yanou feat. Do,Heaven,2002
32,No Doubt feat. Bounty Killer,Hey Baby,2002
33,‘N Sync feat. Nelly,Girlfriend,2002
34,Mario,Just a Friend 2002,2002
35,Sheryl Crow,Soak up the Sun,2002
36,Pink,Don’t Let Me Get Me,2002
37,N.O.R.E.,Nothin’,2002
38,Tweet,Oops (Oh My),2002
39,Kelly Clarkson,A Moment Like This,2002
40,Truth Hurts feat. Rakim,Addictive,2002
41,Ashanti,Happy,2002
42,John Mayer,No Such Thing,2002
43,Pink,Just Like a Pill,2002
44,"Irv Gotti Presents The Inc. feat. Ja Rule, Ashanti, Charli Baltimore and Vita",Down 4 U,2002
45,Kylie Minogue,Can’t Get You Out Of My Head,2002
46,Five For Fighting,Superman (It’s not Easy),2002
47,Eminem,Cleanin’ out my Closet,2002
48,Musiq,Halfcrazy,2002
49,Mr. Cheeks,"Lights, Camera, Action!",2002
50,Big Tymers,Still Fly,2002
51,Alicia Keys,A Woman’s Worth,2002
52,Craig David,7 Days,2002
53,"Cam’ron feat. Juelz Santana, Freekey Zekey and Toya",Hey Ma,2002
54,Missy “Misdemeanor” Elliott,Work It,2002
55,Ludacris feat. Mystikal and Infamous 2.0,Move Bitch,2002
56,LeAnn Rimes,Can’t Fight the Moonlight,2002
57,Enrique Iglesias,Escape,2002
58,Aaliyah,More than a Woman,2002
59,No Doubt,Hello Good,2002
60,Faith Evans,I Love You,2002
61,Daniel Bedingfield,Gotta Get Thru This,2002
62,Busta Rhymes feat. P. Diddy and Pharrell,Pass the Courvoisier Part II,2002
63,Eminem,Lose Yourself,2002
64,Michael Jackson,Butterflies,2002
65,Brandy,What About Us?,2002
66,Shakira,Underneath your Clothes,2002
67,Mary J. Blige feat. Ja Rule,Rainy Dayz,2002
68,Ginuwine,Differences,2002
69,Angie Martinez feat. Lil’ Mo and Sacario,If I could Go!,2002
70,OutKast feat. Killer Mike,The Whole World,2002
71,No Doubt feat. Lady Saw,Underneath it All,2002
72,City High feat. Eve,Caramel,2002
73,LL Cool J,Luv U Better,2002
74,Sean Paul,Gimme the Light,2002
75,‘N Sync,Gone,2002
76,Ja Rule feat. Case,Livin’ it Up,2002
77,Ludacris,Roll Out (My Business),2002
78,Goo Goo Dolls,Here is Gone,2002
79,Mary J. Blige,No More Drama,2002
80,Dirty Vegas,Days go By,2002
81,Ashanti,Baby,2002
82,Kenny Chesney,The Good Stuff,2002
83,Fat Joe feat. R. Kelly,We Thuggin’,2002
84,Steve Holy,Good Morning Beautiful,2002
85,Aaliyah,Rock the Boat,2002
86,Alan Jackson,Drive (For Daddy Gene),2002
87,Jewel,Standing Still,2002
88,Jaheim feat. Next,Anything,2002
89,Brandy,Full Moon,2002
90,B2K,Uh Huh,2002
91,Celine Dion,A New Day has Come,2002
92,Nelly Furtado,Turn Off the Light,2002
93,George Strait,Living and Living Well,2002
94,Toby Keith,My List,2002
95,Alanis Morissette,Hands Clean,2002
96,Avril Lavigne,Sk8er Boi,2002
97,Dixie Chicks,Long Time Gone,2002
98,Alan Jackson,Where Were You (When the World Stopped Turning),2002
99,Justin Timberlake,Like I Love You,2002
100,Toya,I Do!!,2002
1,50 Cent,In Da Club,2003
2,R. Kelly,Ignition,2003
3,Sean Paul,Get Busy,2003
4,Beyonce feat. Jay-Z,Crazy in Love,2003
5,3 Doors Down,When I’m Gone,2003
6,matchbox twenty,Unwell,2003
7,Chingy,Right Thurr,2003
8,Aaliyah,Miss You,2003
9,Kid Rock feat. Sheryl Crow,Picture,2003
10,Evanescence feat. Paul McCoy,Bring me to Life,2003
11,Lil Jon and The East Side Boyz feat. Ying Yang Twins,Get Low,2003
12,Beyonce feat. Sean Paul,Baby Boy,2003
13,"Nelly, P. Diddy and Murphy Lee",Shake ya Tailfeather,2003
14,50 Cent feat. Nate Dogg,21 Questions,2003
15,Jennifer Lopez feat. LL Cool J,All I Have,2003
16,Christina Aguilera,Beautiful,2003
17,Busta Rhymes and Mariah Carey feat. The Flipmode Squad,I Know what you Want,2003
18,Avril Lavigne,I’m with You,2003
19,Uncle Kracker feat. Dobie Gray,Drift Away,2003
20,Lil’ Kim feat. 50 Cent,Magic Stick,2003
21,50 Cent,P.I.M.P.,2003
22,B2K and P. Diddy,"Bump, Bump, Bump",2003
23,Fabolous feat. Tamia Or Ashanti,Into You,2003
24,Fabolous feat. Mike Shorey and Lil’ Mo,Can’t let you Go,2003
25,Ja Rule feat. Ashanti,Mesmerize,2003
26,Black Eyed Peas,Where is the Love?,2003
27,Santana feat. Michelle Branch,The Game of Love,2003
28,Eminem,Lose Yourself,2003
29,Ashanti,Rock wit U (Awww Baby),2003
30,Justin Timberlake,Cry me a River,2003
31,Tyrese,How you Gonna Act Like That,2003
32,Justin Timberlake,Rock your Body,2003
33,Wayne Wonder,No Letting Go,2003
34,Pharrell feat. Jay-Z,Frontin’,2003
35,Dixie Chicks,Landslide,2003
36,Missy “Misdemeanor” Elliott,Work It,2003
37,Jay-Z feat. Beyonce Knowles,’03 Bonnie & Clyde,2003
38,Nivea feat. Brian and Brandon Casey,Don’t Mess with my Man,2003
39,Monica,So Gone,2003
40,"Nelly feat. Kyjuan, Ali and Murphy Lee",Air Force Ones,2003
41,Lumidee,"Never Leave You – Uh Ooh, Uh Oooh!",2003
42,Snoop Dogg feat. Pharrell and Uncle Charlie Wilson,Beautiful,2003
43,Missy “Misdemeanor” Elliott feat. Ludacris,Gossip Folks,2003
44,Kelly Clarkson,Miss Independent,2003
45,Train,Calling All Angels,2003
46,YoungBloodZ feat. Lil Jon,Damn!,2003
47,Clay Aiken,This is the Night,2003
48,John Mayer,Your Body is a Wonderland,2003
49,Trapt,Headstrong,2003
50,Ginuwine,In those Jeans,2003
51,Ludacris feat. Shawnna,Stand Up,2003
52,Jason Mraz,The Remedy (I won’t Worry),2003
53,Santana feat. Alex Band Or Chad Kroeger,Why Don’t You & I,2003
54,Jay-Z,Excuse Me Miss,2003
55,Jennifer Lopez feat. Styles and Jadakiss,Jenny from the Block,2003
56,Michelle Branch,Are you Happy Now?,2003
57,Shania Twain,Forever and for Always,2003
58,Nas,I Can,2003
59,No Doubt feat. Lady Saw,Underneath it All,2003
60,Daniel Bedingfield,If you’re not the One,2003
61,R. Kelly,Thoia Thoing,2003
62,3 Doors Down,Here without You,2003
63,50 Cent,Wanksta,2003
64,Mya,My Love is Like… Wo,2003
65,Alan Jackson and Jimmy Buffett,It’s Five O’Clock Somewhere,2003
66,Sean Paul,Like Glue,2003
67,Christina Aguilera feat. Lil’ Kim,Can’t Hold us Down,2003
68,Lonestar,My Front Porch Looking In,2003
69,Amanda Perez,Angel,2003
70,Puddle Of Mudd,She Hates Me,2003
71,Frankie J,Don’t Wanna Try,2003
72,Lil’ Kim feat. Mr. Cheeks,The Jump Off,2003
73,Jewel,Intuition,2003
74,Ginuwine feat. Baby,Hell Yeah,2003
75,Toby Keith Duet With Willie Nelson,Beer for my Horses,2003
76,Chingy feat. Ludacris and Snoop Dogg,Holidae In,2003
77,Baby Bash feat. Frankie J,Suga Suga,2003
78,Erykah Badu feat. Common,Love of my Life (An Ode to Hip Hop),2003
79,Christina Aguilera,Fighter,2003
80,2Pac,Thugz Mansion,2003
81,Coldplay,Clocks,2003
82,Jaheim,Put that Woman First,2003
83,Ashanti,Rain on Me,2003
84,Mark Wills,19 Somethin’,2003
85,Young Gunz,"Can’t Stop, Won’t Stop",2003
86,Brooks and Dunn,Red Dirt Road,2003
87,Dierks Bentley,What was I Thinkin’,2003
88,Ruben Studdard,Flying without Wings,2003
89,Eminem,Sing for the Moment,2003
90,Darryl Worley,Have you Forgotten?,2003
91,Kenny Chesney,"No Shoes, No Shirt, No Problems",2003
92,Aaliyah,Come Over,2003
93,Field Mob,Sick of Being Lonely,2003
94,R. Kelly,Step in the Name of Love,2003
95,Thalia feat. Fat Joe,I Want You,2003
96,Audioslave,Like a Stone,2003
97,Norah Jones,Don’t know Why,2003
98,Eminem,Superman,2003
99,Tim McGraw,Real Good Man,2003
100,Floetry,Say Yes,2003
1,Usher feat. Lil Jon and Ludacris,Yeah!,2004
2,Usher,Burn,2004
3,Alicia Keys,If I Ain’t Got You,2004
4,Maroon5,This Love,2004
5,OutKast feat. Sleepy Brown,The Way You Move,2004
6,Hoobastank,The Reason,2004
7,Mario Winans feat. Enya and P. Diddy,I Don’t Wanna Know,2004
8,OutKast,Hey Ya!,2004
9,Ciara feat. Petey Pablo,Goodies,2004
10,Terror Squad,Lean Back,2004
11,J-Kwon,Tipsy,2004
12,Usher,Confessions Part II,2004
13,Juvenile feat. Soulja Slim,Slow Motion,2004
14,Petey Pablo,Freek-a-Leek,2004
15,3 Doors Down,Here Without You,2004
16,Twista feat. Kanye West and Jamie Foxx,Slow Jamz,2004
17,Nickelback,Someday,2004
18,Beyonce,Naughty Girl,2004
19,Evanescence,My Immortal,2004
20,Lil’ Flip feat. Lea,Sunshine,2004
21,Jay-Z,Dirt Off Your Shoulder,2004
22,Nina Sky feat. Jabba,Move Ya Body,2004
23,Christina Milian,Dip It Low,2004
24,Usher And Alicia Keys,My Boo,2004
25,Chingy feat. J. Weav,One Call Away,2004
26,Beyonce,"Me, Myself, and I",2004
27,Kevin Lyttle feat. Spragga Benz,Turn Me On,2004
28,Sheryl Crow,The First Cut Is The Deepest,2004
29,Alicia Keys,You Don’t Know My Name,2004
30,Nelly feat. Jaheim,My Place,2004
31,Twista,Overnight Celebrity,2004
32,Cassidy feat. R. Kelly,Hotel,2004
33,Linkin Park,Numb,2004
34,Alicia Keys feat. Tony! Toni! Tone!,Diary,2004
35,Maroon 5,She Will be Loved,2004
36,Dido,White Flag,2004
37,Los Lonely Boys,Heaven,2004
38,No Doubt,It’s My Life,2004
39,Ashlee Simpson,Pieces of Me,2004
40,JoJo,Leave (Get Out),2004
41,Kelis,Milkshake,2004
42,Ludacris,Splash Waterfalls,2004
43,Kanye West,Jesus Walks,2004
44,Akon feat. Styles P.,Locked Up,2004
45,Ludacris feat. Shawnna,Stand Up,2004
46,Baby Bash feat. Frankie J,Suga Suga,2004
47,Kanye West feat. Syleena Johnson,All Falls Down,2004
48,Britney Spears,Toxic,2004
49,Ying Yang Twins feat. Lil Jon and The East Side Boyz,Salt Shaker,2004
50,Jessica Simpson,With You,2004
51,Switchfoot,Meant to Live,2004
52,"Houston feat. Chingy, Nate Dogg and I-20",I Like That,2004
53,Ruben Studdard,Sorry 2004,2004
54,Avril Lavigne,My Happy Ending,2004
55,Lloyd Banks,On Fire,2004
56,OutKast,Roses,2004
57,Jagged Edge,Walker outta Heaven,2004
58,Destiny’s Child,Lose My Breath,2004
59,D12,My Band,2004
60,Sean Paul feat. Sasha,I’m Still in Love with You,2004
61,Kanye West,Through the Wire,2004
62,Jadakiss feat. Anthony Hamilton,Why?,2004
63,Eamon,F**k It (I Don’t Want you Back),2004
64,Avant,Read your Mind,2004
65,Lil’ Flip,Game Over (Flip),2004
66,Finger Eleven,One Thing,2004
67,LL Cool J,Headsprung,2004
68,YoungBloodZ feat. Lil Jon,Damn!,2004
69,Beyonce feat. Sean Paul,Baby Boy,2004
70,Lil Jon and The East Side Boyz feat. Ying Yang Twins,Get Low,2004
71,Snoop Dogg feat. Pharrell,Drop it Like it’s Hot,2004
72,Monica,U Should’ve Known Better,2004
73,Ryan Cabrera,On the Way Down,2004
74,Kelly Clarkson,Breakaway,2004
75,Santana feat. Alex Band Or Chad Kroeger,Why Don’t you & I,2004
76,Jet,Are You Gonna Be My Girl,2004
77,Five For Fighting,100 Years,2004
78,R. Kelly,Step In The Name Of Love,2004
79,Linkin Park,Breaking the Habit,2004
80,Nick Cannon feat. R. Kelly,Gigolo,2004
81,Tim McGraw,Live Like You Were Dying,2004
82,Alan Jackson,Remember When,2004
83,Britney Spears,Everytime,2004
84,Lloyd feat. Ashanti,Southside,2004
85,Beenie Man feat. Ms. Thing,Dude,2004
86,G-Unit feat. Joe,Wanna Get To Know You,2004
87,Chingy feat. Ludacris and Snoop Dogg,Holidae In,2004
88,Black Eyed Peas,Let’s Get It Started,2004
89,Kenny Chesney and Uncle Kracker,When the Sun Goes Down,2004
90,Toby Keith,American Soldier,2004
91,Jay-Z,Change Clothes,2004
92,Avril Lavigne,Don’t Tell Me,2004
93,Keith Urban,You’ll Think of Me,2004
94,R. Kelly,Happy People,2004
95,Black Eyed Peas,Hey Mama,2004
96,Nelly feat. Tim McGraw,Over and Over,2004
97,Gretchen Wilson,Redneck Woman,2004
98,Eminem,Just Lose It,2004
99,John Michael Montgomery,Letters from Home,2004
100,Kenny Chesney,I Go Back,2004
1,Mariah Carey,We Belong Together,2005
2,Gwen Stefani,Hollaback Girl,2005
3,Mario,Let Me Love You,2005
4,Kelly Clarkson,Since U Been Gone,2005
5,Ciara feat. Missy Elliott,"1, 2 Step",2005
6,Kanye West feat. Jamie Foxx,Gold Digger,2005
7,Green Day,Boulevard of Broken Dreams,2005
8,50 Cent feat. Olivia,Candy Shop,2005
9,The Pussycat Dolls feat. Busta Rhymes,Don’t Cha,2005
10,Kelly Clarkson,Behind These Hazel Eyes,2005
11,50 Cent,Disco Inferno,2005
12,Lifehouse,You and Me,2005
13,The Black Eyed Peas,Don’t Phunk With My Heart,2005
14,Missy Elliott feat. Ciara and Fat Man Scoop,Lose Control,2005
15,Mariah Carey,Shake it Off,2005
16,The Killers,Mr. Brightside,2005
17,50 Cent,Just a Lil Bit,2005
18,Rihanna,Pon de Replay,2005
19,The Game feat. 50 Cent,How We Do,2005
20,Weezer,Beverly Hills,2005
21,Ciara feat. Ludacris,Oh,2005
22,Rob Thomas,Lonely No More,2005
23,Snoop Dogg feat. Pharrell,Drop it Like It’s Hot,2005
24,The Game feat. 50 Cent,Hate It or Love It,2005
25,Lil Jon and The East Side Boyz feat. Usher and Ludacris,Lovers and Friends,2005
26,Destiny’s Child feat. T.I. and Lil Wayne,Soldier,2005
27,Kelly Clarkson,Breakaway,2005
28,Will Smith,Switch,2005
29,Bow Wow feat. Omarion,Let Me HOld You,2005
30,Bow Wow feat. Ciara,Like You,2005
31,Gwen Stefani feat. Eve,Rich Girl,2005
32,The Black Eyed Peas,My Humps,2005
33,Frankie J feat. Baby Bash,Obsession (No Es Amor),2005
34,Usher,Caught Up,2005
35,D.H.T.,Listen to your Heart,2005
36,Papa Roach,Scars,2005
37,Gorillaz,Feel Good Inc,2005
38,3 Doors Down,Let Me Go,2005
39,Green Day,Holiday,2005
40,Fall Out Boy,"Sugar, we’re Goin’ Down",2005
41,Pretty Ricky,Grind With Me,2005
42,Chris Brown,Run It!,2005
43,Nickelback,Photograph,2005
44,Akon,Lonely,2005
45,Howie Day,Collide,2005
46,Green Day,Wake Me up When September Ends,2005
47,Bobby Valentino,Slow Down,2005
48,Nelly feat. Tim McGraw,Over and Over,2005
49,Trillville feat. Cutty,Some Cut,2005
50,Fat Joe feat. Nelly,Get it Poppin’,2005
51,David Banner,Play,2005
52,Young Jeezy feat. Akon,Soul Survivor,2005
53,Ludacris feat. Bobby Valentino,Pimpin’ All Over the World,2005
54,Usher And Alicia Keys,My Boo,2005
55,"Trick Daddy feat. Ludacris, Lil’ Kim and Cee-Lo",Sugar (Gimme Some),2005
56,Alicia Keys,Karma,2005
57,Coldplay,Speed of Sound,2005
58,Gavin DeGraw,I Don’t Want to Be,2005
59,Eminem,Mockingbird,2005
60,Shakira feat. Alejandro Sanz,La Tortura,2005
61,Maroon5,She Will be Loved,2005
62,Baby Bash feat. Akon,Baby I’m Back,2005
63,Ying Yang Twins,Wait (The Whisper Song),2005
64,Backstreet Boys,Incomplete,2005
65,T.I.,Bring em Out,2005
66,Destiny’s Child,Cater 2 U,2005
67,Amerie,1 Thing,2005
68,Foo Fighters,Best of You,2005
69,Mariah Carey,It’s Like That,2005
70,Natalie,Goin’ Crazy,2005
71,Carrie Underwood,Inside your Heaven,2005
72,Kelly Clarkson,Because of You,2005
73,Fantasia,Truth Is,2005
74,Pretty Ricky,Your Body,2005
75,Jesse McCartney,Beautiful Soul,2005
76,Gwen Stefani,Cool,2005
77,Ludacris,Get Back,2005
78,50 Cent feat. Mobb Deep,Outta Control (Remix),2005
79,T.I.,U Don’t Know Me,2005
80,Natasha Bedingfield,These Words,2005
81,The Black Eyed Peas,Don’t Lie,2005
82,Jennifer Lopez,Get Right,2005
83,John Mayer,Daughters,2005
84,Toby Keith,As Good as I Once Was,2005
85,Brooke Valentine feat. Lil Jon and Big Boi,Girlfight,2005
86,Destiny’s Child,Lose My Breath,2005
87,John Legend,Ordinary People,2005
88,Sean Paul,We Be Burnin’,2005
89,The Click Five,Just the Girl,2005
90,Ryan Cabrera,True,2005
91,Omarion,O,2005
92,Mike Jones,Back Then,2005
93,Jay-Z/Linkin Park,Numb/Encore,2005
94,Ja Rule feat. R. Kelly and Ashanti,Wonderful,2005
95,T-Pain,I’m Sprung,2005
96,Gavin DeGraw,Chariot,2005
97,112 feat. Foxy Brown,U Already Know,2005
98,Faith Hill,Mississippi Girl,2005
99,Ludacris,Number One Spot,2005
100,Webbie feat. Bun B,Give Me That,2005
1,Daniel Powter,Bad Day,2006
2,Sean Paul,Temperature,2006
3,Nelly Furtado feat. Timbaland,Promiscuous,2006
4,James Blunt,You’re Beautiful,2006
5,Shakira feat. Wyclef Jean,Hips Don’t Lie,2006
6,Natasha Bedingfield,Unwritten,2006
7,Gnarls Barkley,Crazy,2006
8,Chamillionaire feat. Krayzie Bone,Ridin’,2006
9,Justin Timberlake,Sexyback,2006
10,Beyonce feat. Slim Thug,Check on It,2006
11,Mary J. Blige,Be without You,2006
